id,id_swiped,action
4599928,357358069,left
4599928,54794634,right
4599928,4599928,right
4599928,4599928,left
4599928,110127063,left
4599928,53916773,right
4599928,252715520,left
4599928,4599928,left
4599928,76025405,left
4599928,259212858,left
4599928,77305399,left
4599928,179624705,left
4599928,105357147,left
4599928,108073843,left
4599928,170530265,left
4599928,261510331,left
4599928,29607777,left
4599928,190744215,left
4599928,29034694,left
4599928,152544662,left
4599928,40824539,left
4599928,283484571,left
4599928,168272786,right
4599928,416133226,left
4599928,7665384,right
4599928,252046886,right
4599928,364239258,left
4599928,105648323,left
4599928,74325229,left
4599928,105222488,left
4599928,122038571,left
4599928,4599928,left
4599928,116150202,right
4599928,77386202,left
4599928,4599928,right
4599928,227887682,left
4599928,237884478,right
4599928,18304700,left
4599928,4599928,right
4599928,163234393,right
4599928,132171158,right
4599928,132035092,left
4599928,4599928,left
4599928,11768136,right
4599928,153400902,left
