id,id_swiped,action
4599928,17050058.0,
4599928,55041195.0,
4599928,185997874.0,
4599928,4599928.0,right
4599928,39883490.0,left
4599928,71959562.0,left
4599928,47408710.0,left
4599928,102682953.0,left
4599928,159212128.0,left
4599928,419385106.0,left
4599928,133773581.0,left
4599928,112189248.0,right
4599928,313047603.0,left
4599928,276414665.0,right
<<<<<<< HEAD,,
101901105,4599928.0,left
101901105,378866391.0,right
101901105,193654123.0,right
101901105,292554200.0,right
101901105,139846913.0,right
101901105,134274987.0,left
101901105,39447659.0,left
101901105,138159385.0,right
101901105,60812704.0,left
101901105,116785758.0,right
101901105,17050058.0,left
101901105,111141867.0,right
101901105,19212420.0,left
101901105,118766163.0,left
101901105,228894487.0,right
101901105,20154284.0,right
101901105,230074124.0,left
101901105,20616357.0,left
101901105,76251391.0,left
101901105,39777777.0,left
101901105,49634674.0,left
101901105,47663191.0,right
101901105,157019369.0,left
101901105,10663988.0,right
101901105,441636937.0,right
101901105,142917041.0,left
101901105,8518588.0,left
101901105,222163047.0,right
101901105,113243206.0,right
101901105,112596123.0,right
101901105,154687497.0,right
101901105,166520413.0,left
101901105,490296708.0,right
101901105,154356014.0,left
101901105,75986568.0,left
101901105,245671517.0,left
101901105,196367751.0,right
101901105,96994818.0,left
101901105,299275212.0,right
101901105,84976548.0,left
101901105,4599928.0,left
101901105,53136252.0,left
101901105,125011694.0,right
101901105,70399461.0,left
101901105,69018672.0,right
101901105,68467547.0,left
101901105,17481695.0,right
101901105,439418524.0,left
101901105,227887682.0,left
101901105,39374684.0,right
101901105,240343068.0,left
101901105,110140500.0,right
101901105,144443388.0,left
101901105,222791378.0,left
101901105,9348223.0,left
101901105,61266220.0,left
101901105,559098303.0,left
101901105,11768136.0,left
101901105,18369734.0,left
101901105,144342452.0,left
101901105,94982346.0,right
101901105,205662765.0,left
101901105,34397483.0,right
101901105,194658604.0,left
101901105,274610451.0,right
101901105,202889329.0,left
101901105,246648758.0,left
101901105,75014660.0,right
101901105,87370588.0,left
101901105,61048166.0,left
101901105,123381944.0,right
101901105,334577200.0,left
101901105,347448134.0,left
101901105,109583350.0,left
101901105,212284234.0,left
101901105,47408710.0,right
101901105,119450298.0,left
101901105,50571910.0,left
101901105,70624141.0,left
101901105,157005427.0,left
101901105,226198394.0,right
101901105,91905791.0,left
101901105,524538244.0,right
101901105,32719156.0,right
101901105,323366907.0,left
101901105,117248781.0,left
101901105,367244648.0,left
101901105,31770298.0,right
101901105,153109209.0,left
101901105,65913918.0,left
101901105,397171333.0,left
101901105,183423406.0,right
101901105,320893170.0,left
101901105,63800444.0,right
101901105,55041195.0,right
101901105,21088241.0,right
101901105,4599928.0,right
101901105,138836737.0,right
101901105,122766386.0,left
101901105,123614267.0,left
101901105,4599928.0,right
101901105,72590001.0,left
101901105,43112052.0,right
101901105,4599928.0,right
101901105,155759232.0,left
101901105,109531743.0,right
101901105,90963820.0,left
101901105,4599928.0,right
101901105,7764392.0,right
101901105,85812419.0,left
101901105,236775060.0,right
101901105,136188104.0,left
101901105,146084488.0,left
101901105,216711281.0,left
101901105,4599928.0,right
101901105,100352982.0,left
101901105,277542564.0,right
101901105,84393012.0,left
101901105,85003519.0,right
101901105,11856890.0,right
101901105,83878159.0,right
101901105,23347159.0,left
101901105,62073719.0,right
101901105,10548792.0,left
101901105,144875139.0,right
101901105,175858237.0,left
101901105,30134826.0,left
101901105,215280730.0,right
101901105,55878962.0,left
101901105,4599928.0,right
101901105,195664901.0,right
101901105,18168397.0,left
101901105,152277497.0,left
101901105,73371170.0,left
101901105,10835168.0,left
101901105,539240800.0,left
101901105,192584688.0,left
101901105,84373310.0,left
101901105,472366406.0,left
101901105,55661342.0,left
101901105,4599928.0,right
101901105,450580052.0,left
101901105,9735407.0,right
101901105,171403543.0,right
101901105,4599928.0,right
101901105,133933758.0,left
101901105,74224168.0,left
101901105,255977013.0,right
101901105,140077807.0,right
101901105,48565654.0,left
101901105,126389504.0,left
101901105,29034694.0,left
101901105,282699643.0,left
101901105,4599928.0,left
101901105,284091285.0,right
101901105,41015673.0,left
101901105,19048029.0,right
101901105,105671556.0,left
101901105,138675028.0,right
101901105,153052994.0,right
101901105,221850542.0,left
101901105,141279330.0,right
101901105,117172019.0,left
101901105,5186545.0,left
101901105,32834352.0,left
101901105,174482891.0,right
101901105,4599928.0,right
101901105,29476554.0,left
101901105,71040171.0,right
101901105,123429977.0,left
101901105,70506126.0,right
101901105,14792790.0,left
101901105,102847473.0,right
101901105,514223995.0,right
101901105,101632105.0,left
101901105,174189072.0,left
101901105,123026429.0,left
101901105,132159952.0,right
101901105,100418362.0,right
101901105,53794701.0,right
101901105,4599928.0,right
101901105,230995313.0,left
101901105,177959688.0,right
101901105,106309274.0,left
101901105,63918632.0,right
101901105,145772046.0,left
101901105,24630090.0,left
101901105,98230556.0,left
101901105,151641689.0,right
101901105,4599928.0,right
101901105,259212858.0,left
101901105,143898598.0,right
101901105,157053391.0,left
101901105,158142493.0,right
101901105,12630669.0,left
101901105,154129724.0,right
101901105,320914426.0,left
101901105,68996576.0,right
101901105,189209907.0,right
101901105,4599928.0,left
101901105,23141612.0,left
101901105,5734361.0,right
101901105,83349105.0,left
101901105,222269553.0,right
101901105,187157613.0,right
101901105,494195961.0,left
101901105,61163882.0,right
101901105,85839729.0,left
101901105,4599928.0,right
101901105,176537746.0,left
101901105,114739265.0,left
101901105,364239258.0,left
101901105,253329112.0,right
101901105,13371561.0,left
101901105,105882683.0,left
=======,,
4599928,4599928.0,right
4599928,193465572.0,left
4599928,164236444.0,left
4599928,401293461.0,right
4599928,90248259.0,right
4599928,180470609.0,left
4599928,224814867.0,left
4599928,13907871.0,left
4599928,559085166.0,left
4599928,134721862.0,left
4599928,19006286.0,left
4599928,4599928.0,right
4599928,9556548.0,left
4599928,50960678.0,left
4599928,202889329.0,left
4599928,264484600.0,left
4599928,134846405.0,left
4599928,98442862.0,left
4599928,172876360.0,left
4599928,60812704.0,left
4599928,54084369.0,left
4599928,49882917.0,right
4599928,99599568.0,left
4599928,253430120.0,left
4599928,81093906.0,right
4599928,59181529.0,left
4599928,77462309.0,left
4599928,105744724.0,left
4599928,4599928.0,right
4599928,353835640.0,left
4599928,55878962.0,left
4599928,295955507.0,right
4599928,417849142.0,right
4599928,246707497.0,right
4599928,60133549.0,left
4599928,4599928.0,left
4599928,45444131.0,right
4599928,59159016.0,left
4599928,165511706.0,left
4599928,101462744.0,left
4599928,91905791.0,left
4599928,13367613.0,right
4599928,154643030.0,left
4599928,36114258.0,right
4599928,18369734.0,left
4599928,175693690.0,right
4599928,429915086.0,left
4599928,416836449.0,left
4599928,61163882.0,left
4599928,43112052.0,right
4599928,218094077.0,left
